time,text,polarity,subjectivity
4/14/2017 23:59,"b'RT @ccanipe: For every $100 you pay in taxes, $24.81 goes to Medicare and Medicaid. $1.09 goes to Obamacare subsidies. https://t.co/DgAEdhj\xe2\x80\xa6'",0,0
,,,
4/14/2017 23:59,b'@AsToldByBrina I know right! Thank God for ObamaCare',0.357142857,0.535714286
,,,
4/14/2017 23:59,b'RT @arawis: Democrats say spending bill must fund Obamacare payments https://t.co/LgDXaVAikw',0,0
,,,
4/14/2017 23:59,b'RT @PattyMurray: President Trump &amp; Congressional Republicans are actively working to sabotage our health care system \xe2\x86\x92 https://t.co/OzQ0VGQ\xe2\x80\xa6',-0.133333333,0.6
,,,
4/14/2017 23:59,"b'RT @TimothyNoah1: Chamber of Commerce urges Trump and Congress not to sabotage Obamacare. The ""blame Democrats for Ocare\'s failure"" strateg\xe2\x80\xa6'",-0.316666667,0.3
,,,
4/14/2017 23:59,"b'RT @Impeach_D_Trump: Just In case anyone forgot, this is what a REAL President looks like. They work for ALL the people not just the top 1%\xe2\x80\xa6'",0.35,0.4
,,,
4/14/2017 23:59,b'How Alaska fixed Obamacare https://t.co/To69QQfD6Z via @voxdotcom',0.1,0.2
,,,
4/14/2017 23:59,"b'RT @mchastain81: Thanks to Obamacare, For-Profit Surgery Centers are on the Rise https://t.co/G2Eoxe3w19 via @kemberleekaye'",0.2,0.2
,,,
4/14/2017 23:59,b'RT @Pamela_Moore13: Donald Trump Jr. &amp; Ben Carson both confirm Obama admin stole $500 Billion to fund broken &amp; failed Obamacare from Freddi\xe2\x80\xa6',-0.45,0.35
,,,
4/14/2017 23:59,b'@FoxNews @KJTorrance The only people that support Obamacare are the people not on it.',0,1
,,,
4/14/2017 23:59,"b'RT @ccanipe: For every $100 you pay in taxes, $24.81 goes to Medicare and Medicaid. $1.09 goes to Obamacare subsidies. https://t.co/DgAEdhj\xe2\x80\xa6'",0,0
,,,
4/14/2017 23:59,b'RT @MattOswaltVA: Obamacare vs GOP Replacement https://t.co/lNVFbxyuJT',0,0
,,,
4/14/2017 23:59,b'Democrats ready to fight Trump over those #Obamacare subsidies #ProtectOurCare https://t.co/0oMy6Tx9wS via @HuffPostPol',0.2,0.5
,,,
4/14/2017 23:59,b'@realDonaldTrump  @SpeakerRyan  No More $$$ For Failed #ObamaCare NO MORE Speaker Ryan. We Knew He Would Do This. #Buildthewall!!!',-0.412760417,0.433333333
,,,
4/14/2017 23:59,b'Trump just made his first big changes to Obamacare https://t.co/3RZDkvFZwi via @HuffPostPol',0.125,0.216666667
,,,
4/14/2017 23:58,b'U.S. health care will collapse and be re-built from the bottom eliminating insurance companies.  @movieguypaul\xe2\x80\xa6 https://t.co/2Am7pGU8ab',0,0
,,,
4/14/2017 23:58,b'RT @voxdotcom: Howard Dean was warning people about the opioid crisis a decade ago https://t.co/9gWNZeTaGD',0,0
,,,
4/14/2017 23:58,b'RT @RepDarrenSoto: Trump proposes cutting ACA enrollment period in half. Sabotage is no way to run healthcare @HispanicCaucus #Sayfie  http\xe2\x80\xa6',-0.383333333,0.533333333
,,,
4/14/2017 23:58,"b""@BarackObama u took corruption to an all new level that's your legacy IRS scheme incidental surveillance Obamacare funds shameful president""",0.136363636,0.454545455
,,,
4/14/2017 23:58,"b'RT @politico: ""I don\'t see you leading"": One of the most vulnerable House incumbents in 2018 faced an auditorium of angry voters https://t.\xe2\x80\xa6'",-0.166666667,0.666666667
,,,
4/14/2017 23:58,b'RT @MotherJones: Trump is threatening to sabotage millions of insurance plans https://t.co/KuhnvUMkK4 https://t.co/sx4S0XEjhJ',0,0
,,,
4/14/2017 23:58,b'Trump threatens to force Democrats to negotiate on Obamacare | MSNBC https://t.co/f9sfRY6021',0,0
,,,
4/14/2017 23:58,b'Trump Says He May Freeze Subsidies to the Poor Until Democrats Repeal Obamacare https://t.co/rJiZ8ou3aV',-0.4,0.6
,,,
4/14/2017 23:58,b'I can get behind this. https://t.co/KSDXP1J59q via @Change #health #healthcare #ACA #Obamacare #Congress',-0.4,0.7
,,,
4/14/2017 23:57,b'Trump Makes His First Changes To Obamacare \xe2\x80\x94 Insurers Still Spooked https://t.co/jX81i5rpwh',0.25,0.333333333
,,,
4/14/2017 23:57,b'RT @Pamela_Moore13: Donald Trump Jr. &amp; Ben Carson both confirm Obama admin stole $500 Billion to fund broken &amp; failed Obamacare from Freddi\xe2\x80\xa6',-0.45,0.35
,,,
4/14/2017 23:57,b'RT @MotherJones: Trump is now threatening to sabotage millions of insurance plans https://t.co/LYrmuRJjWX https://t.co/rd3wUWnAFe',0,0
,,,
4/14/2017 23:57,b'@realDonaldTrump Trump I am one of your biggest supporters but you told us we would have big tax cuts repeal Obamac\xe2\x80\xa6 https://t.co/dpF0jcVeNq',0,0.1
,,,
4/14/2017 23:57,"b'RT @FoxNews: .@KJTorrance: ""The people at the town hall overwhelmingly support ObamaCare but if you look at polls, the country at large doe\xe2\x80\xa6'",0.357142857,0.714285714
,,,
4/14/2017 23:57,"b""Trump's inconsistent approach to Obamacare https://t.co/xmImZJP2n6""",0,0
,,,
4/14/2017 23:57,"b'New post: ""Trump sends mixed signals on Obamacare"" https://t.co/GXLXMxRVUW'",0.068181818,0.352272727
,,,
4/14/2017 23:57,"b'New post: ""Trump\'s schizophrenic approach to Obamacare"" https://t.co/1RmTmyMIjJ'",0.136363636,0.454545455
,,,
4/14/2017 23:57,"b'New post: ""Trump\'s inconsistent approach to Obamacare"" https://t.co/LE8I9Uu9Ts'",0.136363636,0.454545455
,,,
4/14/2017 23:57,b'ACA Crapification: \nTrump administration issued final rule that will shorten Obamacare enrollment period https://t.co/KC6uhWHAxG',0,1
,,,
4/14/2017 23:57,b'RT @voxdotcom: Howard Dean was warning people about the opioid crisis a decade ago https://t.co/9gWNZeTaGD',0,0
,,,
4/14/2017 23:57,b'Trump: I May Sabotage Obamacare Until Democrats Repeal It https://t.co/dIqE2toNkt via @intelligencer',0,0
,,,
4/14/2017 23:57,"b""Analysis | Republicans can't find a way to repeal Obamacare because too many of them secretly love it https://t.co/K997qZgdYt""",0.5,0.55
,,,
4/14/2017 23:57,"b'RT @politico: ""I don\'t see you leading"": One of the most vulnerable House incumbents in 2018 faced an auditorium of angry voters https://t.\xe2\x80\xa6'",-0.166666667,0.666666667
,,,
4/14/2017 23:57,b'blocking out the middleast\npalms of Putins peeps r greased\nObamacare will soon b fleeced\n&amp;faith in US will have ceased #PressSecretaryPoetry',0,0
,,,
4/14/2017 23:57,b'RT @RealMuckmaker: Republicans may not want Trump to end Obamacare payments https://t.co/vfmnQ1s9p2',0,0
,,,
4/14/2017 23:56,b'RT @voxdotcom: Howard Dean was warning people about the opioid crisis a decade ago https://t.co/9gWNZeTaGD',0,0
,,,
4/14/2017 23:56,b'RT @CNN: Is President Trump trying to strengthen or to dismantle Obamacare? https://t.co/QkziV1GEVC https://t.co/aGR5W3qWIf',0,0
,,,
4/14/2017 23:56,"b""RT @Harrisonxjacobs: The Obamacare repeal 'could be a disaster' for states fighting the opioid epidemic\n\nhttps://t.co/cZJ7nKGpP1 https://t.\xe2\x80\xa6""",0,0
,,,
4/14/2017 23:56,b'Should withhold all payments forever\n\n#FullRepeal of #Obamacare https://t.co/tEt88CoL6W',0,0
,,,
4/14/2017 23:56,b'I lost my health ins because of #ObamaCare.  Was paying $425 for a family of 4. #CoveredCA was 3 times as much. W/o\xe2\x80\xa6 https://t.co/IbtqvMUTQq',0.2,0.2
,,,
4/14/2017 23:56,b'RT @JuddLegum: Nancy Pelosi says Obamacare payments are not optional https://t.co/NYt1eS7c2Q https://t.co/7heL8WnEoY',0,0
,,,
4/14/2017 23:56,b'RT @Pamela_Moore13: Donald Trump Jr. &amp; Ben Carson both confirm Obama admin stole $500 Billion to fund broken &amp; failed Obamacare from Freddi\xe2\x80\xa6',-0.45,0.35
,,,
4/14/2017 23:56,b'RT @AdamsFlaFan: Republicans may not want Trump to end Obamacare payments https://t.co/x7M9NH1xl9',0,0
,,,
4/14/2017 23:55,"b""RT @dannon787: The cartoon says it all - it's really that simple. #Trumpcarefail #Obamacare #healthcare #FlashbackFriday https://t.co/iEaWg\xe2\x80\xa6""",0.1,0.278571429
,,,
4/14/2017 23:55,"b""RT @megh_wright: My dad starts chemo Monday. Here's just ONE prescription he needs. It's really very simple: without Obamacare, within 8 mo\xe2\x80\xa6""",0,0.464285714
,,,
4/14/2017 23:55,b'RT @GinsburgJobs: Republicans may not want Trump to end Obamacare payments https://t.co/AicLAv8Txf',0,0
,,,
4/14/2017 23:55,b'RT @jstines3: Stop toying with us! We demand #FullRepeal of Obamacare NOW! NO MORE EXCUSES!  \n\n#PJNET #NoRinoCare #NoRyanCare https://t.co/\xe2\x80\xa6',-0.3125,0.5
,,,
4/14/2017 23:55,"b""RT @politico: .@RepMikeCoffman backed @SpeakerRyan's health care bill. Now the five-term centrist is paying for it in his district https://\xe2\x80\xa6""",0,0
,,,
4/14/2017 23:55,b'Nasty horrible man @realDonaldTrump would screw Americans just because #healthcare          https://t.co/lTrm9ajbqp',-1,1
,,,
4/14/2017 23:55,b'RT @CNN: Is President Trump trying to strengthen or to dismantle Obamacare? https://t.co/QkziV1GEVC https://t.co/aGR5W3qWIf',0,0
,,,
4/14/2017 23:55,"b'We Have To Earn $42,000 Every Year Just To Fill In For Our Obamacare. OBAMACARE WAS MEANT TO IMPLODE.NOT SOON ENOUGH https://t.co/lXF7qOnXsr'",0,0.5
,,,
4/14/2017 23:55,b'RT @AdamsFlaFan: Republicans may not want Trump to end Obamacare payments https://t.co/x7M9NH1xl9',0,0
,,,
4/14/2017 23:55,b'RT @DavidCornDC: Trump is now threatening to sabotage millions of insurance policies https://t.co/zSGWEWHnOu via @MotherJones',0,0
,,,
4/14/2017 23:55,b'Doctor cuts out third parties and cuts costs for patients despite Obamacare \xe2\x80\x93 TheBlaze https://t.co/n1WSeTconM',0,0
,,,
4/14/2017 23:55,b'RT @THEHermanCain: PLS SHARE the facts: Exclusive interview with HHS Secretary Tom Price: ObamaCare repeal/replace has to happen https://t.\xe2\x80\xa6',0,0
,,,
4/14/2017 23:55,b'RT @RepBarbaraLee: Donald Trump is sabotaging healthcare for the poor to win tax breaks for his billionaire buddies. This is a new low. htt\xe2\x80\xa6',0.134090909,0.438636364
,,,
4/14/2017 23:55,b'RT @AdamsFlaFan: Republicans may not want Trump to end Obamacare payments https://t.co/x7M9NH1xl9',0,0
,,,
4/14/2017 23:55,b'RT @washingtonpost: Republicans may not want Trump to end Obamacare payments https://t.co/i7lhbfI7Jl',0,0
