time,text,polarity,subjectivity
4/14/2017 23:59,"b'RT @ZackBergerMDPhD: As a doctor, one of the ways lack of single payer hits me in my gut:\n\nWhen I see someone I want to take on as a new pa\xe2\x80\xa6'",0.032467532,0.334415584
4/14/2017 23:59,b'@ann_gop @jhuselton @TariqBruno @CJPatruno @irtsblog @peopleCRITICamI @seanhannity @LouiseMensch Single payer healt\xe2\x80\xa6 https://t.co/v31PyfSeHM',-0.071428571,0.214285714
4/14/2017 23:59,b'@RoseAnnDeMoro @ninaturner @SaveMain_St @Bernlennials @OurRevolution @ShaunKing @VanJones68 @MarkRuffalo\xe2\x80\xa6 https://t.co/9o0HtF8jp7',0.0,0.0
4/14/2017 23:59,"b""RT @SeanMcElwee: Interesting how NYT doesn't hire a columnist to represent the millions who hate war, support single-payer or oppose capita\xe2\x80\xa6""",-0.15,0.7
4/14/2017 23:59,"b""RT @CheriHonkala: We need single-payer #healthcare in PA. Ask your state legislators to co-sponsor @HCforAllPA / @RepDeLissio's bill: https\xe2\x80\xa6""",0.0,0.0
4/14/2017 23:59,"b""RT @SeanMcElwee: Interesting how NYT doesn't hire a columnist to represent the millions who hate war, support single-payer or oppose capita\xe2\x80\xa6""",-0.15,0.7
4/14/2017 23:58,"b""RT @SeanMcElwee: Interesting how NYT doesn't hire a columnist to represent the millions who hate war, support single-payer or oppose capita\xe2\x80\xa6""",-0.15,0.7
4/14/2017 23:58,"b""@AJ18018 @NPR I'm CANADIAN and in poor health  ( in Rehab now 4 2nd broken hip). I thank God every DAY FOR SINGLE P\xe2\x80\xa6 https://t.co/g8858Pjyrb""",-0.217857143,0.303571429
4/14/2017 23:58,b'Plurality of Voters Back Single-Payer Health Care System https://t.co/Yq7vpIwzq4',0.0,0.0
4/14/2017 23:58,"b'RT @ZackBergerMDPhD: As a doctor, one of the ways lack of single payer hits me in my gut:\n\nWhen I see someone I want to take on as a new pa\xe2\x80\xa6'",0.032467532,0.334415584
4/14/2017 23:58,"b""RT @SeanMcElwee: Interesting how NYT doesn't hire a columnist to represent the millions who hate war, support single-payer or oppose capita\xe2\x80\xa6""",-0.15,0.7
4/14/2017 23:57,"b'You break it, you own it. Ironically, this ""useful idiot"" may be my best hope for single payer. Hasta la victoria s\xe2\x80\xa6 https://t.co/0HY2AgfC7I'",0.20571428600000002,0.46285714299999997
4/14/2017 23:57,"b""RT @SeanMcElwee: Interesting how NYT doesn't hire a columnist to represent the millions who hate war, support single-payer or oppose capita\xe2\x80\xa6""",-0.15,0.7
4/14/2017 23:57,b'RT @crampell: Age group most opposed to single-payer is the one that already has it (those age 65+). https://t.co/UeiCmVwGvi',0.5,0.5
4/14/2017 23:56,"b""RT @SeanMcElwee: Interesting how NYT doesn't hire a columnist to represent the millions who hate war, support single-payer or oppose capita\xe2\x80\xa6""",-0.15,0.7
4/14/2017 23:55,"b""RT @SeanMcElwee: Interesting how NYT doesn't hire a columnist to represent the millions who hate war, support single-payer or oppose capita\xe2\x80\xa6""",-0.15,0.7
4/14/2017 23:55,b'Plurality of Voters Back Single-Payer Health Care System https://t.co/CGMjXx2wRk',0.0,0.0
4/14/2017 23:55,"b""RT @John_D_Blackman: Who doesn't benefit from single payer healthcare?\n1. Insurance companies\n2. Pharmaceutical companies\n3. Politicians to\xe2\x80\xa6""",-0.071428571,0.214285714
4/14/2017 23:54,"b""RT @CheriHonkala: We need single-payer #healthcare in PA. Ask your state legislators to co-sponsor @HCforAllPA / @RepDeLissio's bill: https\xe2\x80\xa6""",0.0,0.0
4/14/2017 23:54,"b""@DenActivist @Maggyw519 @girlsreallyrule Or are you telling me that, since his party wouldn't obey, we got single p\xe2\x80\xa6 https://t.co/ThaI0Up9WE""",-0.071428571,0.214285714
4/14/2017 23:53,"b""RT @SeanMcElwee: Interesting how NYT doesn't hire a columnist to represent the millions who hate war, support single-payer or oppose capita\xe2\x80\xa6""",-0.15,0.7
4/14/2017 23:53,b'RT @aurabogado: Can we have the mother of all single-payer healthcare yet? Or the mother of free higher education? How about the mother of\xe2\x80\xa6',0.325,0.65
