time,text,polarity,subjectivity
4/14/2017 23:59,"b""RT @SenSanders: A lot of working people voted for Trump because they thought he was going to stand up for them. Well, it turns out that's n\xe2\x80\xa6""",0,0
,,,
4/14/2017 23:59,b'RT @funder: Report says Trump Adviser JD Gordon went to Budapest 6 times to meet w/Russian secret service &amp; Hungarian Govt\n\n#trumprussia #t\xe2\x80\xa6',-0.4,0.7
,,,
4/14/2017 23:59,"b""RT @RVAwonk: Trump won't let you view the WH visitor log. But he will let your internet service provider sell your private data. https://t.\xe2\x80\xa6""",0,0.375
,,,
4/14/2017 23:59,"b""RT @tedlieu: Dear @POTUS: Here's a tip. Get a briefing from US officials before you meet with a foreign leader. Or try reading. https://t.c\xe2\x80\xa6""",-0.125,0.125
,,,
4/14/2017 23:59,"b""RT @Uslopp: Retweeting again so you Trump-humpers don't forget \xe2\x9d\xa4\xef\xb8\x8f https://t.co/8zhA2iHyqE""",0,0
,,,
4/14/2017 23:59,"b'RT @DannyZuker: BREAKING: Trump drops entire budget for Meals on Wheels, Planned Parenthood, NEA &amp; school lunch programs on Afghanistan thi\xe2\x80\xa6'",0,0.625
,,,
4/14/2017 23:59,b'Democrats In Illinois Just Unseated A Whole Bunch Of Republicans https://t.co/Rchyc3aO3H',0.2,0.4
,,,
4/14/2017 23:59,"b""RT @KwikWarren: Hi FBI, could y'all please indict/charge Trump so we can maybe get him outta office BEFORE he blows up the fucking world?\xe2\x80\xa6""",-0.6,0.8
,,,
4/14/2017 23:59,"b""RT @Khanoisseur: @GStephanopoulos 4. Overlooked Page connection to Trump? Richard Burt. Both worked for Gazprom. Burt shaped Trump's Mayflo\xe2\x80\xa6""",0,0
,,,
4/14/2017 23:59,b'RT @TheLastWord: Joe Biden condemns LGBTQ crisis in Chechnya \xe2\x80\x94 and calls on Trump admin to do the same https://t.co/VS0KZHUIcX https://t.co\xe2\x80\xa6',0,0.125
,,,
4/14/2017 23:59,b'Trump delights in watching the U.S. military display its\xc2\xa0strength https://t.co/8v93EM1rUk',-0.1,0.1
,,,
4/14/2017 23:59,"b'RT @KentuckyBlacc: Every General wanted JFK to strike first. If he had, like Trump 100% would have in his place, we would all probably be e\xe2\x80\xa6'",0.15,0.416666667
,,,
4/14/2017 23:59,"b""RT @AP: Pentagon officials say US commander in Afghanistan who ordered massive bomb didn't need  President Trump's approval. https://t.co/W\xe2\x80\xa6""",0,1
,,,
4/14/2017 23:59,"b""RT @molly_knight: If the people investigating Trump's collusion with Russia could hurry the fuck up before he starts World War III that wou\xe2\x80\xa6""",-0.4,0.6
,,,
4/14/2017 23:59,"b'RT @GhostPanther: Just want to give an extra special thanks to the millions of people who didn\'t vote cause ""there\'s no difference between\xe2\x80\xa6'",0.185714286,0.29047619
,,,
4/14/2017 23:59,b'RT @MAMABEAR1219: Source: foreign intel gives tape to FBI of Donald Trump\xe2\x80\x99s kids engaging in criminal behavior https://t.co/GekyirXGhW via\xe2\x80\xa6',-0.041666667,0.458333333
,,,
4/14/2017 23:59,b'RT @RawStory: House intel member heads to Russia\xe2\x80\x99s money laundering island Cyprus to investigate Trump collusion https://t.co/7U4CgCaLXS ht\xe2\x80\xa6',0,0
,,,
4/14/2017 23:59,b'RT @SenatorTomUdall: This stunning decision to withhold White House visitor logs raises an obvious question\xe2\x80\x94what is President Trump trying\xe2\x80\xa6',0.166666667,0.5
,,,
4/14/2017 23:59,b'RT @CNN: Far-right French presidential candidate Marine Le Pen criticizes President Trump for his sudden embrace of NATO https://t.co/sf2eS\xe2\x80\xa6',0,0.25
,,,
4/14/2017 23:59,b'RT @deplorable_Me11: America is back again\xf0\x9f\x92\xafThank You @POTUS #Trump \xf0\x9f\x91\x94&amp; the Bravest &amp; Strongest #Military in the world\xf0\x9f\x92\x99 #MOAB #Syria #America\xe2\x80\xa6',-0.05,0.05
,,,
4/14/2017 23:59,b'RT @1Progressivism: House Intel Democrat travels to Cyprus to track down Trump-Russia money laundering https://t.co/AEDpjiQ0ts via @PalmerR\xe2\x80\xa6',-0.155555556,0.288888889
,,,
